Long,Lat,#,Time
-74:02:27.1,50:16:49.6,211,1587484719.477009
-73:39:53.5,50:13:06.4,212,1587484723.0845828
-73:23:00.7,50:10:15.8,213,1587484726.6582172
-73:00:33.5,50:06:24.3,214,1587484730.2362773
-72:43:45.7,50:03:27.6,215,1587484733.8391263
-72:21:25.3,49:59:27.9,216,1587484737.4467
-71:59:08.7,49:55:23.5,217,1587484741.0539367
-71:42:29.0,49:52:17.1,218,1587484744.6608195
-71:20:19.4,49:48:04.6,219,1587484748.2351108
-71:03:45.0,49:44:52.1,220,1587484751.8480353
-70:41:42.6,49:40:31.5,221,1587484755.4507012
-70:19:44.3,49:36:06.4,222,1587484759.0257804
-70:03:18.4,49:32:44.5,223,1587484762.5991275
-69:41:27.5,49:28:11.5,224,1587484766.1728017
-69:25:07.2,49:24:43.7,225,1587484769.7471921
-69:03:23.8,49:20:02.8,226,1587484773.321047
-68:47:09.1,49:16:29.2,227,1587484776.8950784
-68:25:33.4,49:11:40.5,228,1587484780.501907
-68:04:02.1,49:06:47.4,229,1587484784.0765653
-67:47:56.6,49:03:04.7,230,1587484787.6501365
-67:26:33.2,48:58:04.0,231,1587484791.2248216
-67:10:33.5,48:54:15.6,232,1587484794.8315713
-66:49:18.0,48:49:07.3,233,1587484798.4065325
-66:28:07.1,48:43:54.8,234,1587484802.0815816
-66:12:17.0,48:39:57.6,235,1587484805.6558506
-65:51:14.2,48:34:37.6,236,1587484809.2637308
-65:35:30.1,48:30:34.9,237,1587484812.8389647
-65:14:35.5,48:25:07.6,238,1587484816.412946
-64:58:57.7,48:20:59.4,239,1587484819.986978
-64:38:11.4,48:15:24.8,240,1587484823.5607374
-64:17:29.8,48:09:46.2,241,1587484827.1703172
-64:02:01.8,48:05:29.5,242,1587484830.775945
-63:41:28.7,47:59:43.8,243,1587484834.3493931
-63:26:07.0,47:55:21.8,244,1587484837.923963
-63:05:42.4,47:49:29.0,245,1587484841.4979265
-62:45:22.6,47:43:32.3,246,1587484845.0725377
-62:30:11.0,47:39:02.1,247,1587484848.6470046
-62:09:59.8,47:32:58.5,248,1587484852.2207549
-61:54:54.6,47:28:23.2,249,1587484855.794823
-61:34:52.0,47:22:12.8,250,1587484859.3690622
-61:19:53.3,47:17:32.5,251,1587484862.9433393
-60:59:59.4,47:11:15.4,252,1587484866.5170045
-60:40:10.5,47:04:54.4,253,1587484870.0910015
-60:25:22.0,47:00:06.3,254,1587484873.6659977
-60:05:41.8,46:53:38.8,255,1587484877.239309
-59:50:59.9,46:48:45.8,256,1587484880.8146143
-59:31:28.4,46:42:11.8,257,1587484884.3880625
-59:16:53.1,46:37:13.9,258,1587484887.9626606
-58:57:30.4,46:30:33.6,259,1587484891.5367417
-58:38:12.7,46:23:49.6,260,1587484895.110916
-58:23:47.7,46:18:44.3,261,1587484898.6847832
-58:04:38.8,46:11:54.1,262,1587484902.2585733
-57:50:20.5,46:06:44.1,263,1587484905.8338985
-57:31:20.4,45:59:47.8,264,1587484909.4079945
-57:12:25.3,45:52:47.9,265,1587484913.0151935
-56:58:17.3,45:47:30.8,266,1587484916.5888057
-56:39:31.1,45:40:24.9,267,1587484920.1629038
-56:25:29.7,45:35:03.3,268,1587484923.738749
-56:06:52.2,45:27:51.5,269,1587484927.311282
-55:52:57.4,45:22:25.5,270,1587484930.918907
-55:34:28.8,45:15:07.8,271,1587484934.4963021
-55:16:05.1,45:07:46.9,272,1587484938.074093
-55:02:20.7,45:02:14.0,273,1587484941.674769
-54:44:05.8,44:54:47.4,274,1587484945.2826798
-54:30:27.9,44:49:10.3,275,1587484948.856128
-54:12:21.8,44:41:38.0,276,1587484952.429791
-53:54:20.6,44:34:02.5,277,1587484956.0379038
-53:40:53.0,44:28:18.9,278,1587484959.611731
-53:23:00.6,44:20:38.0,279,1587484963.2189977
-53:09:39.5,44:14:50.2,280,1587484966.7932851
-52:51:55.7,44:07:03.9,281,1587484970.399889
-52:34:16.9,43:59:14.5,282,1587484974.0074716
-52:21:05.9,43:53:20.4,283,1587484977.5845559
-52:03:35.7,43:45:25.8,284,1587484981.1890526
-51:50:31.3,43:39:27.8,285,1587484984.7628717
-51:33:09.6,43:31:27.9,286,1587484988.3372538
-51:20:11.6,43:25:26.1,287,1587484991.9442527
-51:02:58.4,43:17:21.1,288,1587484995.5513647
-50:45:50.1,43:09:13.3,289,1587484999.1264696
-50:33:02.1,43:03:05.5,290,1587485002.7349293
-50:16:02.3,42:54:52.7,291,1587485006.3412864
-50:03:20.5,42:48:41.2,292,1587485009.9154994
-49:46:29.1,42:40:23.5,293,1587485013.5227783
-49:29:42.4,42:32:02.9,294,1587485017.130611
-49:17:10.6,42:25:45.8,295,1587485020.7383268
-49:00:32.2,42:17:20.5,296,1587485024.3457236
-48:48:06.6,42:10:59.7,297,1587485027.9540293
-48:31:36.5,42:02:29.8,298,1587485031.5279937
-48:15:11.1,41:53:57.1,299,1587485035.1357143
-48:02:55.1,41:47:30.9,300,1587485038.7426033
-47:46:37.8,41:38:53.7,301,1587485042.3850548
-47:34:28.0,41:32:24.1,302,1587485045.9920695
-47:18:18.8,41:23:42.4,303,1587485049.5664515
-47:02:14.3,41:14:58.1,304,1587485053.1743026
-46:50:13.8,41:08:23.3,305,1587485056.781007
-46:34:17.3,40:59:34.6,306,1587485060.3889768
-46:22:22.8,40:52:56.5,307,1587485063.9973438
-46:06:34.2,40:44:03.5,308,1587485067.6045716
-45:50:50.1,40:35:08.2,309,1587485071.2111814
-45:39:04.9,40:28:25.0,310,1587485074.8182182
-45:23:28.6,40:19:25.4,311,1587485078.3928075
-45:11:49.2,40:12:39.2,312,1587485081.9669597
-44:56:20.6,40:03:35.5,313,1587485085.5744803
-44:40:56.4,39:54:29.4,314,1587485089.1484165
-44:29:26.1,39:47:38.4,315,1587485092.7218988
-44:14:09.5,39:38:28.3,316,1587485096.2967098
-44:02:44.9,39:31:34.3,317,1587485099.9046605
-43:47:35.9,39:22:20.3,318,1587485103.477861
-43:32:31.1,39:13:04.0,319,1587485107.0859156
-43:21:15.3,39:06:05.4,320,1587485110.658903
-43:06:18.0,38:56:45.3,321,1587485114.2336488
-42:55:07.7,38:49:43.8,322,1587485117.808006
-42:40:17.8,38:40:20.0,323,1587485121.3812
-42:29:13.0,38:33:15.7,324,1587485124.9560814
-42:14:30.3,38:23:48.1,325,1587485128.5293386
-41:59:51.7,38:14:18.5,326,1587485132.1039147
-41:48:55.4,38:07:09.8,327,1587485135.6834037
-41:34:23.9,37:57:36.6,328,1587485139.255351
-41:23:33.0,37:50:25.3,329,1587485142.8590848
-41:09:08.5,37:40:48.5,330,1587485146.433271
-40:54:48.1,37:31:09.7,331,1587485150.006833
-40:44:05.4,37:23:54.2,332,1587485153.5805535
-40:29:51.9,37:14:12.0,333,1587485157.1552246
-40:19:14.4,37:06:54.0,334,1587485160.7281806
-40:05:07.8,36:57:08.4,335,1587485164.3028271
-39:54:35.4,36:49:47.9,336,1587485167.9101176
